version,group,confidence,votes
before,positive,0.7809090909090909,859
before,positive,0.7781818181818182,856
before,positive,0.7572727272727273,833
before,positive,0.7709090909090909,848
before,positive,0.7763636363636364,854
before,positive,0.7418181818181818,816
before,positive,0.79,869
before,positive,0.77,847
before,positive,0.7645454545454545,841
before,positive,0.7990909090909091,879
before,positive,0.7518181818181818,827
before,positive,0.7772727272727272,855
before,positive,0.7627272727272727,839
before,positive,0.7790909090909091,857
before,positive,0.7872727272727272,866
before,positive,0.7727272727272727,850
before,positive,0.7609090909090909,837
before,positive,0.7790909090909091,857
before,positive,0.7845454545454545,863
before,positive,0.78,858
before,hard_negative,0.3709090909090909,408
before,hard_negative,0.36272727272727273,399
before,hard_negative,0.35363636363636364,389
before,hard_negative,0.3490909090909091,384
before,hard_negative,0.34454545454545454,379
before,hard_negative,0.33545454545454545,369
before,hard_negative,0.34363636363636363,378
before,hard_negative,0.3481818181818182,383
before,hard_negative,0.3418181818181818,376
before,hard_negative,0.3490909090909091,384
before,hard_negative,0.3245454545454545,357
before,hard_negative,0.3390909090909091,373
before,hard_negative,0.3472727272727273,382
before,hard_negative,0.32727272727272727,360
before,hard_negative,0.34454545454545454,379
before,hard_negative,0.3281818181818182,361
before,hard_negative,0.37272727272727274,410
before,hard_negative,0.3809090909090909,419
before,hard_negative,0.3118181818181818,343
before,hard_negative,0.35545454545454547,391
after,positive,0.12280701754385964,42
after,positive,0.11403508771929824,39
after,positive,0.08771929824561403,30
after,positive,0.14619883040935672,50
after,positive,0.13157894736842105,45
after,positive,0.09941520467836257,34
after,positive,0.11695906432748537,40
after,positive,0.11403508771929824,39
after,positive,0.12280701754385964,42
after,positive,0.12573099415204678,43
after,positive,0.09649122807017543,33
after,positive,0.1111111111111111,38
after,positive,0.10818713450292397,37
after,positive,0.0935672514619883,32
after,positive,0.11988304093567251,41
after,positive,0.1286549707602339,44
after,positive,0.1023391812865497,35
after,positive,0.11403508771929824,39
after,positive,0.12280701754385964,42
after,positive,0.11695906432748537,40
after,hard_negative,0.02631578947368421,9
after,hard_negative,0.03508771929824561,12
after,hard_negative,0.017543859649122806,6
after,hard_negative,0.014619883040935672,5
after,hard_negative,0.023391812865497075,8
after,hard_negative,0.014619883040935672,5
after,hard_negative,0.023391812865497075,8
after,hard_negative,0.017543859649122806,6
after,hard_negative,0.017543859649122806,6
after,hard_negative,0.029239766081871343,10
after,hard_negative,0.02631578947368421,9
after,hard_negative,0.038011695906432746,13
after,hard_negative,0.02046783625730994,7
after,hard_negative,0.017543859649122806,6
after,hard_negative,0.023391812865497075,8
after,hard_negative,0.017543859649122806,6
after,hard_negative,0.02046783625730994,7
after,hard_negative,0.02046783625730994,7
after,hard_negative,0.03508771929824561,12
after,hard_negative,0.017543859649122806,6
